path,methods,description,uses_db,uses_fs,requires_jwt,runtime_nodejs
/api/auth/login,POST,"MIGRATED to Spring: /api/public/auth/login - login con restituzione access token + refresh token",Yes,No,No,Yes
/api/auth/logout,POST,"MIGRATED to Spring: /api/priv/auth/logout - logout e invalidazione refresh token",No,No,Yes,Yes
/api/auth/me,GET,"MIGRATED to Spring: /api/priv/auth/me - info utente autenticato corrente",Yes,No,Yes,Yes
/api/auth/register,POST,"MIGRATED to Spring: /api/public/auth/register - registrazione utente + profilo in transazione",Yes,No,No,Yes
/api/stories,GET,"MIGRATED to Spring: /api/priv/stories - story feed attivo per l'utente autenticato",Yes,No,No,Yes
/api/stories,POST,"NOT MIGRATED: creazione story - endpoint mancante in Spring",Yes,Yes,Yes,Yes
/api/stories/[id]/view,POST,"MIGRATED to Spring: /api/priv/stories/{storyId}/view - registra visualizzazione story in modo idempotente",Yes,No,Yes,No
/api/stories/[id]/public,GET,"MIGRATED to Spring: /api/priv/stories/profiles/{profileId} - story viewer per profilo",Yes,No,Hybrid,No
/api/stories/[id]/like,POST,"MIGRATED to Spring: POST /api/priv/likes/story/{id} - toggle like su story (endpoint unificato likes)",Yes,No,Yes,No
/api/stories/[id]/viewers,GET,"NOT MIGRATED: lista viewer della story - endpoint mancante in Spring",Yes,No,Yes,Yes
/api/search,GET,"MIGRATED to Spring: /api/priv/search - ricerca profili per username o nome",Yes,No,Yes,No
/api/reels,GET,"MIGRATED to Spring: /api/priv/reels - reels feed (video post) con paginazione e excludeIds support",No,No,Yes,No
/api/profiles/upload-image,POST,"MIGRATED to Spring: /api/priv/profiles/me/picture - PUT - upload foto profilo",Yes,Yes,Yes,No
/api/profiles/suggestions,GET,"MIGRATED to Spring: /api/priv/follows/suggestions - top-20 profili pubblici non seguiti shuffled",No,No,Yes,No
/api/profiles/security,PUT,"MIGRATED to Spring: /api/priv/profiles/security - aggiorna email/telefono/password (bcrypt)",Yes,No,Yes,No
/api/profiles/remove-image,DELETE,"MIGRATED to Spring: /api/priv/profiles/me/picture - DELETE - rimozione foto profilo",Yes,Yes,Yes,No
/api/profiles/privacy,PUT,"MIGRATED to Spring: /api/priv/profiles/privacy - aggiorna privacy profilo e promuove follow request pendenti in bulk",No,No,Yes,No
/api/profiles/personal,PUT,"MIGRATED to Spring: /api/priv/profiles/personal - aggiorna username e full name con controllo unicità",No,No,Yes,No
/api/profiles/me/followers,GET,"DEPRECATED: endpoint legacy rimosso; usare GET /api/priv/follows/{username}/followers",No,No,Yes,No
/api/profiles/follow/reject,POST,"MIGRATED to Spring: /api/priv/follows/requests/{requesterProfileId}/reject - rifiuta follow request (status=rejected + soft delete); pubblica notifica",No,No,Yes,No
/api/profiles/follow/accept,POST,"MIGRATED to Spring: /api/priv/follows/requests/{requesterProfileId}/accept - accetta follow request; aggiorna contatori e pubblica notifica",No,No,Yes,No
/api/profiles/edit,PUT,"MIGRATED to Spring: /api/priv/profiles/edit - aggiorna bio, website e gender",No,No,Yes,No
/api/profiles/birthday,PUT,"MIGRATED to Spring: /api/priv/profiles/birthday - aggiorna data di nascita con validazione età minima (13 anni)",No,No,Yes,No
